team_no,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,total_penalties_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,total_penalties,total_yards_penalized,total_defensive_sacks,yards_lost_from_sacks,total_punts_kicked,total_punt_yards,total_team_penalties,abbr
63,Western Kentucky,267,21,40.76,60,4.5,19.2,4.1,12,41.6,3371,259.3,154,20,92,431,18,1670,128.5,920,330,25.4,40,5041,53-514,387.8,7.2,3.9,53,514,20,130,46,2083,53,WKU
64,Army,272,15,44.97,66.67,22.1,16.8,2.6,7,42.2,1066,82,38,6,219,743,45,3863,297.2,885,370,28.5,52,4929,60-496,379.2,8.5,5.2,60,496,16,102,37,1660,60,ARMY
65,BYU,293,16,42.47,36.84,16,19.4,13.5,11,37.5,3701,284.7,170,20,107,465,25,2068,159.1,962,372,28.6,46,5769,79-668,443.8,7.9,4.4,79,668,29,174,53,2209,79,BYU
66,Liberty,289,29,40.48,31.25,12.3,24.3,0.5,8,37.1,3756,288.9,161,29,99,435,25,1956,150.5,915,429,35.8,56,5712,88-801,439.4,8.3,4.5,88,801,28,199,55,2245,88,LIBE
67,New Mexico State,228,18,31.98,61.54,3.6,13.5,9.5,15,38.7,2611,217.6,117,15,93,386,16,1722,143.5,863,260,21.7,33,4333,68-531,361.1,5.9,4.5,68,531,31,202,66,2773,68,UNM
68,Notre Dame,272,23,40,68,9.7,18.3,8.4,6,37.7,3278,252.2,135,37,114,473,20,2327,179,906,478,36.8,61,5605,84-645,431.2,7.9,4.9,84,645,17,93,63,2485,84,ND
69,UMass,189,19,34.38,37.93,11.8,20.7,9.4,16,37.1,2022,168.5,94,15,76,430,14,1495,124.6,849,237,21.5,31,3517,82-717,293.1,5.2,3.5,82,717,27,174,79,3116,82,UMAS
70,Akron,156,14,25.77,30.44,24,21.5,3.8,14,35.4,2344,195.3,91,12,51,327,2,562,46.8,783,126,12.6,15,2906,81-628,242.2,5.9,1.7,81,628,58,328,80,2980,81,AKR
71,Ball State,292,26,41.04,52.17,4.7,22.6,8,7,31.6,2923,243.6,137,24,129,536,27,2633,219.4,938,418,34.8,53,5556,71-636,463,7.8,4.9,71,636,29,167,53,2060,71,BALL
72,Bowling Green,204,13,33.15,21.88,11,18.6,5.2,15,38.2,1888,157.3,88,9,103,502,15,1941,161.8,853,192,19.2,25,3829,84-710,319.1,5.6,3.9,84,710,14,122,72,2923,84,BGSU
73,Buffalo,276,20,44.85,64,13.8,20.1,6.7,6,30.1,1795,138.1,83,14,173,659,36,3256,250.5,945,409,31.5,54,5051,64-580,388.5,6.5,4.9,64,580,8,59,53,1859,64,BUFF
74,Central Michigan,310,28,40.1,56.67,10.4,22.7,7.9,13,37.3,3531,252.2,160,19,122,526,36,2539,181.4,1020,426,32.8,55,6070,118-925,433.6,7.5,4.8,118,925,21,151,55,2305,118,CMU
75,Eastern Michigan,285,26,39.65,48,12.5,16.9,12,12,39.9,3681,283.2,168,27,91,418,21,1590,122.3,906,379,29.2,49,5271,59-531,405.5,7.9,3.8,59,531,23,134,50,2190,59,EMU
76,Kent State,283,32,43.88,66.67,3.1,22.6,8.5,2,40.9,2846,218.9,116,24,135,550,17,2427,186.7,946,380,31.7,42,5273,81-781,405.6,8,4.4,81,781,41,206,61,2614,81,KENT
77,Miami (OH),216,20,33.17,33.33,19.9,21.5,13.6,10,37.2,2495,178.2,100,11,96,533,22,1833,130.9,901,338,24.1,37,4328,80-683,309.1,7.4,3.4,80,683,31,183,77,3291,80,M-OH
78,Northern Illinois,221,16,32.02,52.17,25.8,11.8,5.5,11,39.5,2611,217.6,114,14,91,454,15,1693,141.1,848,286,23.8,35,4304,62-539,358.7,7.1,3.7,62,539,24,184,70,2949,62,NIU
79,Ohio,296,22,49.41,55.56,4.6,22.9,5.3,6,37,2866,220.5,126,21,148,526,36,2883,221.8,882,446,34.3,57,5749,70-627,442.2,8.6,5.5,70,627,21,150,50,2043,70,OHIO
80,Toledo,261,19,38.01,58.07,7.7,20.8,7.7,7,38.7,2515,209.6,116,15,126,517,27,2694,224.5,885,327,27.3,42,5209,67-608,434.1,7.4,5.2,67,608,29,173,55,2350,67,TOL
81,Western Michigan,288,23,45.26,57.14,16.9,24.5,2,8,37,3128,240.6,132,21,133,503,35,2666,205.1,934,430,33.1,58,5794,82-759,445.7,7.6,5.3,82,759,18,122,52,2200,82,WMU
82,Air Force,286,7,53.5,76.19,34.3,13.3,1.2,6,37.3,1602,123.2,52,14,227,755,41,3881,298.5,885,441,33.9,58,5483,42-368,421.8,12.7,5.1,42,368,4,22,31,1253,42,AFA
83,Boise State,318,23,47.5,58.82,8.7,21.7,12,11,36.7,3664,261.7,159,31,136,529,27,2342,167.3,1020,486,34.7,63,6006,76-695,429,7.9,4.4,76,695,27,167,56,2200,76,BSU
84,Colorado State,257,21,39.65,52.38,17.5,24.6,6.8,11,42.4,3660,305,157,21,79,395,18,1586,132.2,867,337,28.1,42,5246,80-782,437.2,8.2,4,80,782,27,180,49,2274,80,CSU
85,Fresno State,232,23,37.16,46.15,15,19.6,13.3,11,40,2721,226.8,122,17,87,394,27,1911,159.3,790,360,30,46,4632,74-599,386,7.3,4.9,74,599,23,158,52,2209,74,FRES
86,Hawai'i,367,19,47.06,60.61,23.1,22.3,4.9,17,36.1,5056,337.1,223,42,125,421,21,2009,133.9,1083,508,33.9,68,7065,103-918,471,8,4.8,103,918,27,173,42,1743,103,HAW
87,Nevada,251,17,36.72,58.33,7.7,19.5,9.7,13,36.8,3246,249.7,144,14,90,446,16,1503,115.6,979,277,21.3,31,4749,96-772,365.3,6.5,3.4,96,772,33,220,72,2953,96,NEV
88,New Mexico,245,27,36.69,37.5,17.8,24.1,6.1,15,42.1,2340,195,103,13,115,501,20,2463,205.3,850,267,22.3,34,4803,81-729,400.3,7.1,4.9,81,729,18,109,60,2738,81,UNM
89,San Diego State,259,18,38.16,56.52,3.2,22.9,6.7,6,40.3,2634,202.6,128,15,113,536,12,1827,140.5,954,276,21.2,30,4461,78-655,343.2,6.6,3.4,78,655,21,163,74,3347,78,SDSU
90,San Jose State,258,25,40.88,43.75,7.3,19.7,4.8,8,35.6,4056,338,171,24,62,307,19,1073,89.4,819,361,30.1,43,5129,74-608,427.4,8.1,3.5,74,608,14,107,47,1867,74,SJSU
91,UNLV,232,22,28.4,51.52,10.6,16.8,2.5,12,33.9,2474,206.2,98,20,112,443,17,2018,168.2,860,290,24.2,37,4492,65-536,374.3,6.4,4.6,65,536,29,169,68,2890,65,UNLV
92,Utah State,289,19,42.64,33.33,14.6,21.9,11.5,18,35.6,3628,279.1,156,22,114,461,18,1979,152.2,988,380,29.2,45,5607,74-615,431.3,7.2,4.3,74,615,23,123,70,2760,74,USU
93,Wyoming,230,20,43.09,54.55,16.6,27.7,10.8,9,37.8,1770,136.2,82,11,128,575,27,2792,214.8,852,330,25.4,41,4562,67-634,350.9,6.9,4.9,67,634,21,142,68,2816,67,WYO
94,Arizona State,233,20,38.5,56.25,8.7,26.3,13,4,41.6,3235,248.8,125,21,88,459,13,1602,123.2,875,322,24.8,36,4837,85-818,372.1,8.4,3.5,85,818,33,182,67,3082,85,ASU
95,Arizona,270,20,44.09,65,11.7,21.1,6.4,12,34.5,3193,266.1,139,23,111,451,19,2088,174,906,323,26.9,42,5281,76-677,440.1,7.6,4.6,76,677,33,191,59,2290,76,ARIZ
96,California,244,35,37.5,37.5,8.1,20.1,11.1,9,36.6,2561,197,105,19,104,476,16,1710,131.5,887,276,23,35,4271,62-528,328.5,7,3.6,62,528,46,274,71,2793,62,CAL
97,Colorado,257,21,41.34,60,3.6,21.8,5.7,11,39.6,2858,238.2,127,18,109,436,14,1804,150.3,868,282,23.5,33,4662,85-726,388.5,7,4.1,85,726,21,131,59,2619,85,COLO
98,Oregon,320,26,41.81,52,14.7,26.3,14.3,6,38.5,3615,258.2,170,35,124,510,26,2448,174.9,981,495,35.4,67,6063,85-862,433.1,8.1,4.8,85,862,25,175,62,2720,85,ORE
99,Oregon State,266,15,42.33,54.17,6.9,21.7,5.1,4,37.9,3061,255.1,140,30,111,410,21,1880,156.7,855,374,31.2,52,4941,78-701,411.8,7.3,4.6,78,701,25,177,59,2511,78,ORST
100,Stanford,237,24,39.16,30.77,1.9,24.1,7.2,8,37.4,3149,262.4,143,18,70,346,8,1266,105.5,819,260,21.7,29,4415,75-585,367.9,7.1,3.7,75,585,29,142,56,2221,75,STAN
101,UCLA,269,21,41.62,44.83,15.2,21.9,22.5,12,38.8,3066,255.5,137,22,111,490,18,1802,150.2,953,320,26.7,42,4868,81-663,405.7,7.2,3.7,81,663,37,316,50,2100,81,UCLA
102,USC,301,26,45.83,60,9,21.1,5.6,15,38.9,4365,335.8,183,35,92,391,18,1537,118.2,933,422,32.5,54,5902,90-877,454,8.5,3.9,90,877,28,192,52,2141,90,USC
103,Utah,301,29,46.02,42.31,19.5,17.6,9.6,4,36.1,3187,227.6,125,20,147,591,34,2819,201.4,938,452,32.3,60,6006,103-862,429,9.9,4.8,103,862,26,154,45,1800,103,UTAH
104,Washington,264,16,35.67,71.88,10.7,22.8,10.7,8,42.5,3164,243.4,139,24,109,461,24,1922,147.8,894,416,32,51,5086,79-639,391.2,7.7,4.2,79,639,22,153,50,2231,79,WASH
105,Washington State,335,23,42.55,59.09,12.6,21.5,16.2,16,40.5,5683,437.2,258,50,54,210,12,885,68.1,940,489,37.6,62,6568,85-794,505.2,8,4.2,85,794,20,153,30,1352,85,WSU
106,Alabama,318,24,52.29,68.42,14.4,21.2,24.1,6,35.6,4449,342.2,168,49,126,436,27,2191,168.5,854,614,47.2,83,6640,95-855,510.8,11,5,95,855,12,81,33,1317,95,ALA
107,Arkansas,219,28,33.13,40,10,18.5,11.5,15,37.5,2315,192.9,111,14,80,376,14,1766,147.2,802,257,21.4,31,4081,61-492,340.1,5.7,4.7,61,492,19,128,59,2320,61,ARK
108,Auburn,278,20,40.53,46.67,23.8,20.5,12.8,6,38.5,2697,207.5,123,20,135,550,31,2588,199.1,965,432,33.2,54,5285,92-718,406.5,6.8,4.7,92,718,18,136,64,2786,92,AUB
109,Florida,297,33,41.14,61.54,10,23,4.5,10,41.9,3910,300.8,176,33,88,398,21,1687,129.8,890,432,33.2,55,5597,67-618,430.5,8.4,4.2,67,618,25,178,42,1847,67,FLA
110,Georgia,295,24,40.96,60,12.8,19.1,11.3,6,42.1,3122,223,143,26,128,525,21,2591,185.1,955,431,30.8,50,5713,76-685,408.1,7.5,4.9,76,685,15,96,61,2857,76,UGA
111,Kentucky,252,21,38.89,51.85,11.9,20.8,7.5,8,44.6,1478,113.7,66,9,165,573,36,3624,278.8,847,353,29.4,47,5102,75-661,392.5,5.8,6.3,75,661,17,93,49,2358,75,UK
112,LSU,390,22,51.48,62.5,5.1,20.8,12.3,7,38.1,5561,397.2,226,56,142,481,31,2337,166.9,1029,684,48.9,89,7898,82-818,564.1,10.7,4.9,82,818,30,195,40,1701,82,LSU
113,Mississippi State,280,23,38.93,38.89,16.3,16.5,4.4,10,38.2,2333,179.5,112,19,145,529,27,2868,220.6,875,361,27.8,48,5201,72-578,400.1,7.4,5.4,72,578,31,193,53,2256,72,MSST
114,Missouri,243,24,36.46,53.85,33.3,17.9,11.2,8,39,2671,222.6,109,17,110,476,14,1820,151.7,879,304,27.6,37,4491,83-808,374.3,7.1,3.8,83,808,27,170,68,2940,83,MIZ
115,Ole Miss,271,23,36.81,53.13,4.4,22.4,6.4,6,37.2,2328,194,108,11,140,559,29,3015,251.3,912,319,26.6,41,5343,59-585,445.3,7,5.4,59,585,21,127,58,2524,59,MISS
116,South Carolina,232,19,31.72,48.15,8.5,20.2,13.6,7,42,2667,222.3,128,12,85,396,18,1796,149.7,887,269,22.4,31,4463,79-656,371.9,5.7,4.5,79,656,25,166,69,3244,79,SC
117,Tennessee,241,26,43.18,16.67,11.6,20.7,15.7,13,37.7,2878,221.4,123,19,92,461,13,1874,144.2,842,314,24.2,35,4752,83-683,365.5,8,4.1,83,683,21,138,52,2129,83,TENN
118,Texas A&M,287,21,40,63.64,8.7,19,12.7,10,40.4,3060,235.4,152,22,114,429,24,2068,159.1,915,384,29.5,47,5128,87-720,394.5,6.8,4.8,87,720,34,200,59,2743,87,TAMU
119,Vanderbilt,190,23,28.57,38.1,11.5,18.4,9.3,10,38.6,2064,172,81,10,86,363,11,1496,124.7,772,198,18,24,3560,76-649,296.7,5.4,4.1,76,649,28,179,80,3374,76,VAN
120,Appalachian State,295,20,44.5,81.25,10.7,24.4,9.6,6,39.6,2824,201.7,124,30,151,599,35,3240,231.4,987,543,38.8,73,6064,95-899,433.1,7.6,5.4,95,899,18,107,71,3035,95,APP
121,Arkansas State,287,25,40.42,56.52,17.1,22.2,9.9,11,40.6,4057,312.1,166,37,96,456,13,1654,127.2,965,438,36.5,54,5711,99-870,439.3,8.7,3.6,99,870,40,212,65,2874,99,ARST
122,Coastal Carolina,267,17,40.7,79.31,11.5,15.7,15.3,9,36.6,2379,198.3,111,21,139,520,24,2346,195.5,874,364,30.3,46,4725,67-586,393.8,7.1,4.5,67,586,20,123,43,1684,67,CCAR
123,Georgia Southern,224,20,30.36,42.86,16.4,19.9,14.6,1,40.5,968,74.5,46,9,158,667,29,3285,252.7,850,360,27.7,43,4253,66-562,327.2,6.2,4.9,66,562,28,142,68,2891,66,GASO
124,Georgia State,305,17,45.64,48.15,16.4,14.3,3.2,9,37.5,2577,198.2,129,22,159,596,30,3141,241.6,1000,406,31.2,53,5718,56-557,439.8,6.7,5.3,56,557,19,145,51,2097,56,GSU
125,Louisiana,351,19,47.62,52.94,10.2,23.3,6.3,4,40.9,3314,236.7,153,27,179,574,42,3604,257.4,1002,531,37.9,69,6918,98-817,494.1,8,6.3,98,817,15,131,45,1991,98,ULL
126,South Alabama,216,27,30.18,46.15,4.1,19.8,3.4,11,38.2,1906,158.8,83,14,106,509,15,2057,171.4,819,223,18.6,29,3963,69-540,330.3,6.8,4,69,540,28,166,67,2828,69,USA
127,Texas State,203,22,33.72,30.77,5.4,23.1,8.3,20,34.9,2893,241.1,118,17,63,327,8,921,76.8,798,221,18.4,26,3814,66-617,317.8,6.6,2.8,66,617,30,207,67,2524,66,TXST
128,Troy,295,28,46.89,56.52,11.8,21.6,1.8,11,37.6,3758,313.2,166,30,101,402,19,1717,143.1,920,408,34,52,5475,64-597,456.3,7.7,4.3,64,597,27,155,45,1818,64,TROY
129,UL Monroe,272,21,40,57.14,16.7,16.3,5.2,12,38.9,3044,253.7,131,21,120,456,29,2487,207.3,884,379,31.6,51,5531,95-764,460.9,7.4,5.5,95,764,16,112,56,2440,95,ULM
